"","station","lat","long","first","last"
"1","HAM-001",43.3057190909091,-79.8194372727273,2015-08-06 10:00:00,2024-12-02 17:46:00
"2","HAM-002",43.2861925,-79.7964425,2015-08-06 10:00:00,2025-11-24 14:00:00
"3","HAM-003",43.2946976923077,-79.7995261538461,2015-08-06 10:00:00,2025-11-25 16:49:00
"4","HAM-004",43.2873727272727,-79.8419872727273,2015-08-06 10:00:00,2025-11-25 14:00:00
"5","HAM-005",43.2811308333333,-79.8649108333333,2015-08-06 10:00:00,2025-10-21 14:33:00
"6","HAM-006",43.3066122222222,-79.80795,2015-08-06 10:00:00,2022-11-17 16:27:00
"7","HAM-007",43.3013309090909,-79.83969,2015-08-07 10:00:00,2024-12-03 16:30:00
"8","HAM-008",43.2750833333333,-79.7930344444444,2015-08-07 10:00:00,NA
"9","HAM-009",43.28036,-79.80383,2015-08-07 10:00:00,2023-08-16 14:57:00
"10","HAM-010",43.26856,-79.7815,2015-08-07 10:00:00,2022-11-08 15:30:00
"11","HAM-011",43.2773072727273,-79.8668945454545,2017-08-11 13:45:00,2025-11-19 17:18:00
"12","HAM-012",43.30048,-79.80591,2015-08-07 10:00:00,2023-08-22 18:30:00
"13","HAM-013",43.2969238461538,-79.8015030769231,2015-08-07 10:00:00,NA
"14","HAM-014",43.28501625,-79.875115,2015-08-13 10:00:00,NA
"15","HAM-015",43.2936792307692,-79.8554876923077,2015-08-13 10:00:00,2025-10-21 13:04:00
"16","HAM-017",43.2947669230769,-79.8233530769231,2015-08-17 10:00:00,2025-10-21 12:56:00
"17","HAM-018",43.272643,-79.878113,2015-08-17 10:00:00,2023-06-23 17:00:00
"18","HAM-019",43.2779122222222,-79.8519344444445,2015-08-17 10:00:00,2022-11-14 19:52:00
"19","HAM-021",43.2854658333333,-79.8263525,2015-08-19 10:00:00,NA
"20","HAM-022",43.3020835714286,-79.7906721428571,2015-08-19 10:00:00,NA
"21","HAM-023",43.2855121428571,-79.8676885714286,2015-08-28 10:00:00,2025-10-21 13:35:00
"22","HAM-025",43.3097092307692,-79.8114276923077,2015-08-28 10:00:00,NA
"23","HAM-027",43.2785491666667,-79.8742591666667,2015-11-10 11:00:00,2025-11-25 14:00:00
"24","HAM-028",43.2757391666667,-79.8818791666667,2015-11-30 11:00:00,2025-11-25 14:00:00
"25","HAM-029",43.289395,-79.8873264285714,2016-05-19 10:00:00,2025-09-26 13:53:00
"26","HAM-030",43.2719254545455,-79.9251790909091,2016-05-19 10:00:00,2025-10-02 14:30:00
"27","HAM-031",43.27333,-79.901148,2016-05-19 10:00:00,2020-07-03 15:40:00
"28","HAM-032",43.2797661538462,-79.8936138461539,2016-05-19 10:00:00,NA
"29","HAM-033",43.2921291666667,-79.88398,2016-05-19 10:00:00,NA
"30","HAM-034",43.27153,-79.80802,2016-05-30 10:00:00,NA
"31","HAM-035",43.26228,-79.77238,2016-05-30 10:00:00,NA
"32","HAM-036",43.27139,-79.8694957142857,2016-08-03 10:00:00,2025-11-19 18:30:00
"33","HAM-037",43.2789825,-79.88578875,2016-12-12 11:00:00,2025-06-10 15:10:00
"34","HAM-039",43.28171125,-79.8515175,2017-04-26 16:05:00,2023-06-23 16:45:00
"35","HAM-041",43.2766566666667,-79.83895,2017-05-23 18:12:00,2025-11-19 17:55:00
"36","HAM-042",43.2687266666667,-79.9349866666667,2018-04-19 14:10:00,NA
"37","HAM-043",43.27957,-79.891484,2018-05-14 21:00:00,NA
"38","HAM-044",43.27574375,-79.90538375,2018-03-28 14:27:00,2025-09-02 18:49:00
"39","HAM-045",43.3046,-79.80238,2018-11-15 15:57:00,2025-11-25 16:30:00
"40","HAM-046",43.30771,-79.82588,2018-03-22 22:27:00,2025-11-25 16:15:00
"41","HAM-047",43.30267,-79.83991,2018-03-22 13:00:00,2025-11-19 18:17:00
"42","HAM-048",43.27311,-79.88506,2018-03-22 13:30:00,2023-08-16 19:59:00
"43","HAM-051",43.269748,-79.8732,2018-04-03 17:52:00,2025-11-19 18:39:00
"44","HAM-052",43.27434,-79.866215,2018-04-03 18:32:00,2025-11-19 17:43:00
"45","HAM-053",43.2759,-79.86333,2018-04-03 19:55:00,2025-11-19 17:35:00
"46","HAM-054",43.2746,-79.8621514285714,2018-04-03 19:36:00,2024-07-31 15:50:00
"47","HAM-055",43.27455,-79.8649033333333,2018-04-03 17:55:00,2024-07-31 16:00:00
"48","HAM-056",43.2749542857143,-79.8634114285714,2018-04-03 19:16:00,2024-07-31 15:40:00
"49","HAM-057",43.2750888888889,-79.8607333333333,2018-04-03 20:20:00,2025-11-19 17:27:00
"50","HAM-058",43.31292,-79.8061,2019-03-26 17:44:00,NA
"51","HAM-059",43.2949457142857,-79.8753242857143,2019-04-02 15:08:00,2025-08-28 17:13:00
"52","HAM-060",43.2901325,-79.885345,2019-04-01 15:31:00,2023-11-21 18:30:00
"53","HAM-061",43.2895885714286,-79.8824457142857,2019-04-01 15:55:00,2025-08-28 16:14:00
"54","HAM-062",43.290245,-79.886655,2019-04-01 15:03:00,2025-09-26 13:35:00
"55","HAM-063",43.2822,-79.88451,2019-04-04 15:00:00,2025-11-19 17:05:00
"56","HAM-064",43.29177,-79.88845,2019-04-02 18:52:00,2019-08-28 12:00:00
"57","HAM-065",43.26973,-79.91905,2019-04-11 15:21:00,2019-12-04 17:00:00
"58","HAM-066",43.2929283333333,-79.8812083333333,2019-04-02 14:15:00,2025-08-28 14:55:00
"59","HAM-067",43.29408375,-79.879205,2019-04-02 14:30:00,2025-09-08 14:12:00
