"","date","recgroup","individuals_at_receiver","total_individuals","proportion","avg_depth"
"1",2020-09-25,"East End",1,1,100,3.37688972972973
"2",2020-09-26,"East End",1,1,100,2.09092299465241
"3",2020-09-27,"Bayfront area",1,3,33.3333333333333,2.84152957055215
"4",2020-09-27,"East End",2,3,66.6666666666667,3.02889665294056
"5",2020-09-28,"Bayfront area",1,3,33.3333333333333,5.85176427604871
"6",2020-09-28,"East End",1,3,33.3333333333333,1.63890508474576
"7",2020-09-28,"North shore",1,3,33.3333333333333,4.1715094972067
"8",2020-09-29,"Bayfront area",1,3,33.3333333333333,4.25646574712644
"9",2020-09-29,"East End",1,3,33.3333333333333,2.31147692307692
"10",2020-09-29,"North shore",1,3,33.3333333333333,4.48205988700565
"11",2020-09-30,"Bayfront area",1,3,33.3333333333333,3.33981855921856
"12",2020-09-30,"East End",2,3,66.6666666666667,3.00980225294419
"13",2020-10-01,"Bayfront area",1,3,33.3333333333333,3.91554491609082
"14",2020-10-01,"East End",2,3,66.6666666666667,3.44354282443719
"15",2020-10-02,"Bayfront area",1,3,33.3333333333333,4.38916615384615
"16",2020-10-02,"East End",1,3,33.3333333333333,2.04423102725367
"17",2020-10-02,"North shore",1,3,33.3333333333333,4.23882198391421
"18",2020-10-03,"Bayfront area",1,3,33.3333333333333,5.33952904522613
"19",2020-10-03,"East End",1,3,33.3333333333333,3.07128244575937
"20",2020-10-03,"North shore",1,3,33.3333333333333,5.93432346456693
"21",2020-10-04,"Bayfront area",1,3,33.3333333333333,4.92275211267606
"22",2020-10-04,"East End",1,3,33.3333333333333,3.21006206896552
"23",2020-10-04,"North shore",1,3,33.3333333333333,5.64756258064516
"24",2020-10-05,"Bayfront area",1,3,33.3333333333333,5.80007044381492
"25",2020-10-05,"East End",1,3,33.3333333333333,3.89063930635838
"26",2020-10-05,"North shore",1,3,33.3333333333333,5.69390493506494
"27",2020-10-06,"Bayfront area",1,3,33.3333333333333,5.42607368421053
"28",2020-10-06,"East End",1,3,33.3333333333333,3.08157344173442
"29",2020-10-06,"North shore",1,3,33.3333333333333,4.11690738916256
"30",2020-10-07,"Bayfront area",1,3,33.3333333333333,3.84563529411765
"31",2020-10-07,"East End",2,3,66.6666666666667,3.48283281340585
"32",2020-10-08,"Bayfront area",1,3,33.3333333333333,5.2147916097561
"33",2020-10-08,"East End",2,3,66.6666666666667,4.31066498818686
"34",2020-10-09,"Bayfront area",1,3,33.3333333333333,4.78227544715447
"35",2020-10-09,"East End",1,3,33.3333333333333,3.84570995405819
"36",2020-10-09,"North shore",1,3,33.3333333333333,5.69145607476636
"37",2020-10-10,"Bayfront area",1,4,25,5.18224369310793
"38",2020-10-10,"Central",1,4,25,3.9784487394958
"39",2020-10-10,"East End",1,4,25,5.38266451612903
"40",2020-10-10,"North shore",1,4,25,2.87774396135266
"41",2020-10-11,"Bayfront area",1,4,25,4.94477467248908
"42",2020-10-11,"North shore",3,4,75,3.54825354981058
"43",2020-10-12,"Bayfront area",1,4,25,3.0078
"44",2020-10-12,"East End",2,4,50,5.73050581636386
"45",2020-10-12,"North shore",1,4,25,3.24813384223919
"46",2020-10-13,"Bayfront area",1,4,25,5.69828888888889
"47",2020-10-13,"Central",1,4,25,4.14812786885246
"48",2020-10-13,"North shore",2,4,50,3.6590944324218
"49",2020-10-14,"Bayfront area",1,4,25,3.67125913503972
"50",2020-10-14,"Central",1,4,25,2.98963574879227
"51",2020-10-14,"East End",1,4,25,3.92138358974359
"52",2020-10-14,"North shore",1,4,25,5.25681420765027
"53",2020-10-15,"Bayfront area",1,4,25,2.97680258780037
"54",2020-10-15,"Central",1,4,25,2.28276827586207
"55",2020-10-15,"East End",1,4,25,2.22304309133489
"56",2020-10-15,"North shore",1,4,25,2.15940727272727
"57",2020-10-16,"Bayfront area",1,4,25,4.18604351648352
"58",2020-10-16,"East End",1,4,25,3.39093818984547
"59",2020-10-16,"North shore",2,4,50,4.13846943722944
"60",2020-10-17,"Bayfront area",1,4,25,3.27400093896714
"61",2020-10-17,"East End",1,4,25,3.19795737704918
"62",2020-10-17,"North shore",2,4,50,2.09613630325369
"63",2020-10-18,"Bayfront area",1,4,25,2.92556157635468
"64",2020-10-18,"East End",1,4,25,3.13671428571429
"65",2020-10-18,"North shore",2,4,50,1.85771651372682
"66",2020-10-19,"Bayfront area",1,4,25,3.0932213592233
"67",2020-10-19,"East End",1,4,25,3.75457282780411
"68",2020-10-19,"North shore",2,4,50,2.41125650221854
"69",2020-10-20,"Bayfront area",1,4,25,3.97901982840801
"70",2020-10-20,"Central",1,4,25,5.11944285714286
"71",2020-10-20,"East End",1,4,25,6.33012970711297
"72",2020-10-20,"North shore",1,4,25,3.59944872180451
"73",2020-10-21,"Bayfront area",1,4,25,3.65285606874329
"74",2020-10-21,"Central",1,4,25,2.62568617886179
"75",2020-10-21,"North shore",2,4,50,2.67749295238095
"76",2020-10-22,"Bayfront area",1,4,25,3.49628579387187
"77",2020-10-22,"Central",1,4,25,3.65383636363636
"78",2020-10-22,"East End",1,4,25,4.09953851132686
"79",2020-10-22,"North shore",1,4,25,3.83827748184019
"80",2020-10-23,"Bayfront area",1,4,25,3.6215899543379
"81",2020-10-23,"East End",1,4,25,3.51430697674419
"82",2020-10-23,"North shore",2,4,50,3.83719932649177
"83",2020-10-24,"Bayfront area",1,4,25,5.02885838509317
"84",2020-10-24,"Central",1,4,25,4.52159616858238
"85",2020-10-24,"North shore",2,4,50,3.34944437596302
"86",2020-10-25,"Bayfront area",1,4,25,3.03259120879121
"87",2020-10-25,"Central",1,4,25,3.06554285714286
"88",2020-10-25,"North shore",2,4,50,2.96718242038217
"89",2020-10-26,"Bayfront area",1,4,25,5.18550015267176
"90",2020-10-26,"East End",1,4,25,3.54736557863502
"91",2020-10-26,"North shore",2,4,50,4.00004961909998
"92",2020-10-27,"Central",1,4,25,3.10570188679245
"93",2020-10-27,"East End",2,4,50,3.95659568157459
"94",2020-10-27,"West End",1,4,25,6.39738480138169
"95",2020-10-28,"Bayfront area",1,4,25,3.57923621169916
"96",2020-10-28,"East End",1,4,25,3.95076242424242
"97",2020-10-28,"North shore",2,4,50,3.94697698146514
"98",2020-10-29,"Bayfront area",1,4,25,3.98828847682119
"99",2020-10-29,"East End",1,4,25,3.95076242424242
"100",2020-10-29,"North shore",2,4,50,2.87291746031746
"101",2020-10-30,"Bayfront area",1,4,25,3.06478971141782
"102",2020-10-30,"East End",2,4,50,3.13439845350052
"103",2020-10-30,"North shore",1,4,25,3.85563008849558
"104",2020-10-31,"Bayfront area",1,4,25,3.89119340659341
"105",2020-10-31,"Central",1,4,25,3.8601421686747
"106",2020-10-31,"East End",1,4,25,3.95076242424242
"107",2020-10-31,"North shore",1,4,25,3.20009887278583
"108",2020-11-01,"Bayfront area",1,4,25,3.08035990939977
"109",2020-11-01,"East End",1,4,25,3.95076242424242
"110",2020-11-01,"North shore",2,4,50,2.57878321032103
"111",2020-11-02,"East End",1,4,25,3.95076242424242
"112",2020-11-02,"North shore",2,4,50,3.60443542587681
"113",2020-11-02,"West End",1,4,25,5.83211645919779
"114",2020-11-03,"Central",1,4,25,5.64156710182768
"115",2020-11-03,"East End",1,4,25,3.95076242424242
"116",2020-11-03,"North shore",1,4,25,3.30819786096257
"117",2020-11-03,"West End",1,4,25,3.42167050359712
"118",2020-11-04,"Central",1,4,25,2.97295555555556
"119",2020-11-04,"East End",1,4,25,3.95076242424242
"120",2020-11-04,"West End",2,4,50,2.54252865696237
"121",2020-11-05,"Central",1,4,25,3.59839079102716
"122",2020-11-05,"East End",1,4,25,3.95076242424242
"123",2020-11-05,"North shore",1,4,25,3.7588773006135
"124",2020-11-05,"West End",1,4,25,3.06465301204819
"125",2020-11-06,"Central",2,4,50,3.46565761962286
"126",2020-11-06,"East End",1,4,25,3.95076242424242
"127",2020-11-06,"West End",1,4,25,2.20266467065868
"128",2020-11-07,"Central",1,4,25,3.8543552742616
"129",2020-11-07,"East End",1,4,25,3.95076242424242
"130",2020-11-07,"North shore",1,4,25,3.84699688715953
"131",2020-11-07,"West End",1,4,25,2.67237401129944
"132",2020-11-08,"Central",1,4,25,3.8305178807947
"133",2020-11-08,"East End",1,4,25,3.95076242424242
"134",2020-11-08,"North shore",1,4,25,3.85185517241379
