"","Transect","year","total_abundance","total_effort","CPUE","UpdateTransect","Longitude","Latitude","Substrate_mode","SubstrateCat","Total Night Samples","Total Day Samples","Retain","Zone","RegionName","Comment"
"1","HH10",2016,9,0.249,36.144578313253,"HH10",-79.8018036,43.3031998,2,"Sand",45,30,"Yes","East","East",NA
"2","HH10",2018,16,0.332,48.1927710843373,"HH10",-79.8018036,43.3031998,2,"Sand",45,30,"Yes","East","East",NA
"3","HH10",2023,1,0.083,12.0481927710843,"HH10",-79.8018036,43.3031998,2,"Sand",45,30,"Yes","East","East",NA
"4","HH10",2025,1,0.083,12.0481927710843,"HH10",-79.8018036,43.3031998,2,"Sand",45,30,"Yes","East","East",NA
"5","HH11",2018,25,0.415,60.2409638554217,"HH11",-79.8022995,43.3041,2,"Fines/Sand",47,22,"Yes","East","East",NA
"6","HH11",2020,1,0.083,12.0481927710843,"HH11",-79.8022995,43.3041,2,"Fines/Sand",47,22,"Yes","East","East",NA
"7","HH11",2023,9,0.249,36.144578313253,"HH11",-79.8022995,43.3041,2,"Fines/Sand",47,22,"Yes","East","East",NA
"8","HH12",2018,1,0.083,12.0481927710843,"HH12",-79.802803,43.3058014,2,"Sand",44,29,"Yes","East","East",NA
"9","HH12",2020,5,0.249,20.0803212851406,"HH12",-79.802803,43.3058014,2,"Sand",44,29,"Yes","East","East",NA
"10","HH12",2023,100,0.83,120.481927710843,"HH12",-79.802803,43.3058014,2,"Sand",44,29,"Yes","East","East",NA
"11","HH14",2023,1,0.083,12.0481927710843,"HH14",-79.8090973,43.3115997,2,"Sand",48,30,"Yes","East","NorthEast",NA
"12","HH16",2019,1,0.083,12.0481927710843,"HH16",-79.8123016,43.3128014,2,"Fines/Sand",50,33,"Yes","East","NorthEast",NA
"13","HH16",2023,4,0.166,24.0963855421687,"HH16",-79.8123016,43.3128014,2,"Fines/Sand",50,33,"Yes","East","NorthEast",NA
"14","HH17",2018,13,0.415,31.3253012048193,"HH17",-79.8386993,43.3035011,2,"Fines/Sand",44,36,"Yes","North","LaSalle",NA
"15","HH17",2019,1,0.083,12.0481927710843,"HH17",-79.8386993,43.3035011,2,"Fines/Sand",44,36,"Yes","North","LaSalle",NA
"16","HH17",2021,1,0.083,12.0481927710843,"HH17",-79.8386993,43.3035011,2,"Fines/Sand",44,36,"Yes","North","LaSalle",NA
"17","HH17",2025,1,0.083,12.0481927710843,"HH17",-79.8386993,43.3035011,2,"Fines/Sand",44,36,"Yes","North","LaSalle",NA
"18","HH18",2018,9,0.249,36.144578313253,"HH18",-79.8374023,43.3044014,1,"Fines/Sand",44,37,"Yes","North","LaSalle",NA
"19","HH18",2019,1,0.083,12.0481927710843,"HH18",-79.8374023,43.3044014,1,"Fines/Sand",44,37,"Yes","North","LaSalle",NA
"20","HH18",2020,1,0.083,12.0481927710843,"HH18",-79.8374023,43.3044014,1,"Fines/Sand",44,37,"Yes","North","LaSalle",NA
"21","HH18",2025,5,0.249,20.0803212851406,"HH18",-79.8374023,43.3044014,1,"Fines/Sand",44,37,"Yes","North","LaSalle",NA
"22","HH19",2020,1,0.083,12.0481927710843,"HH19",-79.8398972,43.3031006,2,"Sand",44,36,"Yes","North","LaSalle",NA
"23","HH19",2025,2,0.166,12.0481927710843,"HH19",-79.8398972,43.3031006,2,"Sand",44,36,"Yes","North","LaSalle",NA
"24","HH2",2018,4,0.166,24.0963855421687,"HH2",-79.7919998,43.2872009,2,"Sand",45,32,"Yes","East","SouthEast",NA
"25","HH24",2016,4,0.166,24.0963855421687,"HH24",-79.8619003,43.290699,2,"Sand",48,31,"Yes","North","North",NA
"26","HH26",2019,4,0.166,24.0963855421687,"HH26",-79.8716965,43.2873001,2,"Sand",47,32,"Yes","North","North",NA
"27","HH26",2021,1,0.083,12.0481927710843,"HH26",-79.8716965,43.2873001,2,"Sand",47,32,"Yes","North","North",NA
"28","HH28",2016,1,0.083,12.0481927710843,"HH28",-79.8747025,43.2859993,2,"Sand",45,33,"Yes","North","North",NA
"29","HH28",2019,25,0.415,60.2409638554217,"HH28",-79.8747025,43.2859993,2,"Sand",45,33,"Yes","North","North",NA
"30","HH30",2019,1,0.083,12.0481927710843,"HH30",-79.889801,43.2854004,1,"Fines",33,40,"Yes","West","CarrollsBay",NA
"31","HH32",2019,1,0.083,12.0481927710843,"HH32",-79.8900986,43.2832985,1,"Fines",36,35,"Yes","West","CarrollsBay",NA
"32","HH32",2020,1,0.083,12.0481927710843,"HH32",-79.8900986,43.2832985,1,"Fines",36,35,"Yes","West","CarrollsBay",NA
"33","HH36",2021,1,0.083,12.0481927710843,"HH36",-79.8839035,43.2719994,4,"Cobble/Rubble",43,36,"Yes","West","West",NA
"34","HH37",2016,20,0.498,40.1606425702811,"HH37",-79.8761978,43.2703018,4,"Fines/Cobble/Rubble",47,36,"Yes","West","BayfrontLaunch",NA
"35","HH37",2018,1,0.083,12.0481927710843,"HH37",-79.8761978,43.2703018,4,"Fines/Cobble/Rubble",47,36,"Yes","West","BayfrontLaunch",NA
"36","HH37",2019,3,0.249,12.0481927710843,"HH37",-79.8761978,43.2703018,4,"Fines/Cobble/Rubble",47,36,"Yes","West","BayfrontLaunch",NA
"37","HH37",2020,8,0.332,24.0963855421687,"HH37",-79.8761978,43.2703018,4,"Fines/Cobble/Rubble",47,36,"Yes","West","BayfrontLaunch",NA
"38","HH37",2021,1,0.083,12.0481927710843,"HH37",-79.8761978,43.2703018,4,"Fines/Cobble/Rubble",47,36,"Yes","West","BayfrontLaunch",NA
"39","HH37",2022,100,0.83,120.481927710843,"HH37",-79.8761978,43.2703018,4,"Fines/Cobble/Rubble",47,36,"Yes","West","BayfrontLaunch",NA
"40","HH37",2023,8,0.332,24.0963855421687,"HH37",-79.8761978,43.2703018,4,"Fines/Cobble/Rubble",47,36,"Yes","West","BayfrontLaunch",NA
"41","HH37",2025,16,0.332,48.1927710843373,"HH37",-79.8761978,43.2703018,4,"Fines/Cobble/Rubble",47,36,"Yes","West","BayfrontLaunch",NA
"42","HH38",2013,1,0.083,12.0481927710843,"HH38",-79.8749008,43.2700005,1,"Fines/Cobble/Rubble",49,35,"Yes","West","BayfrontLaunch",NA
"43","HH38",2016,2,0.166,12.0481927710843,"HH38",-79.8749008,43.2700005,1,"Fines/Cobble/Rubble",49,35,"Yes","West","BayfrontLaunch",NA
"44","HH38",2018,2,0.166,12.0481927710843,"HH38",-79.8749008,43.2700005,1,"Fines/Cobble/Rubble",49,35,"Yes","West","BayfrontLaunch",NA
"45","HH38",2019,2,0.166,12.0481927710843,"HH38",-79.8749008,43.2700005,1,"Fines/Cobble/Rubble",49,35,"Yes","West","BayfrontLaunch",NA
"46","HH38",2022,26,0.498,52.2088353413655,"HH38",-79.8749008,43.2700005,1,"Fines/Cobble/Rubble",49,35,"Yes","West","BayfrontLaunch",NA
"47","HH38",2023,8,0.332,24.0963855421687,"HH38",-79.8749008,43.2700005,1,"Fines/Cobble/Rubble",49,35,"Yes","West","BayfrontLaunch",NA
"48","HH38",2025,49,0.581,84.3373493975903,"HH38",-79.8749008,43.2700005,1,"Fines/Cobble/Rubble",49,35,"Yes","West","BayfrontLaunch",NA
