,transmitter_id,forklength,totallength,weight,location_tagged,tag_type,release_date,first_detection,last_detection,days_at_large
1,497,373,406,1220,RBG Fishway,V9TP-2x-BLU-1,5/1/2024,5/3/2024 20:00,7/11/2024 13:33,69
2,498,361,392,1210,RBG Fishway,V9TP-2x-BLU-1,5/1/2024,5/3/2024 20:17,11/25/2025 8:57,571
3,499,326,355,910,RBG Fishway,V9TP-2x-BLU-1,5/1/2024,5/3/2024 20:03,11/25/2025 8:58,571
4,501,342,381,1900,RBG Fishway,V9TP-2x-BLU-1,5/1/2024,5/3/2024 20:47,9/4/2025 16:13,489
5,502,348,386,1150,RBG Fishway,V9TP-2x-BLU-1,5/1/2024,5/3/2024 20:48,5/16/2025 7:10,377
6,507,137,151,1000,RBG Fishway,V9TP-2x-BLU-1,4/29/2024,5/2/2024 23:28,11/25/2025 8:43,571
7,508,350,375,1040,RBG Fishway,V9TP-2x-BLU-1,5/1/2024,5/3/2024 20:45,7/5/2025 0:14,427
8,509,345,378,1060,RBG Fishway,V9TP-2x-BLU-1,4/17/2024,4/19/2024 20:26,8/26/2024 8:21,128
9,510,344,382,1020,RBG Fishway,V9TP-2x-BLU-1,4/17/2024,4/19/2024 20:38,8/19/2024 23:46,122
10,514,345,382,1120,RBG Fishway,V9TP-2x-BLU-1,4/17/2024,4/19/2024 21:19,11/25/2025 8:58,585
11,515,350,380,1120,RBG Fishway,V9TP-2x-BLU-1,4/17/2024,4/19/2024 20:09,6/6/2024 22:02,48
12,516,333,NA,960,RBG Fishway,V9TP-2x-BLU-1,4/17/2024,4/20/2024 1:13,5/5/2025 8:38,380
13,1366,330,366,1000,RBG Fishway,V9TP-2x-BLU-1,4/18/2023 15:30,4/21/2023 22:08,12/24/2023 23:59,247
14,1368,342,376,960,RBG Fishway,V9TP-2x-BLU-1,4/18/2023 16:40,4/21/2023 20:49,12/8/2023 22:44,231
15,1370,347,388,1040,RBG Fishway,V9TP-2x-BLU-1,4/18/2023 16:40,4/20/2023 20:03,6/9/2023 5:48,49
16,1374,330,368,1000,RBG Fishway,V9TP-2x-BLU-1,4/18/2023 15:00,4/21/2023 18:44,5/30/2024 11:03,405
17,1386,345,383,1000,RBG Fishway,V9TP-2x-BLU-1,4/17/2023 15:30,4/19/2023 22:12,5/17/2024 6:29,393
18,1398,368,409,1420,RBG Fishway,V9TP-2x-BLU-1,4/18/2023 15:30,4/20/2023 20:00,5/14/2024 17:12,390
19,9149,355,390,1350,East Islands HH9,V9P-2x-069k-1,10/13/2021,10/15/2021 20:08,10/13/2023 10:28,728
20,9150,360,402,1370,East Islands HH9,V9P-2x-069k-1,10/13/2021,10/15/2021 20:02,6/25/2023 23:17,618
21,9151,225,247,320,Carols Bay to Willow Point,V9P-2x-069k-1,10/14/2021,10/16/2021 20:16,12/14/2021 7:46,59
22,9152,219,242,300,Carols Bay to Willow Point,V9P-2x-069k-1,10/14/2021,10/16/2021 20:00,1/6/2022 23:56,82
23,9154,NA,NA,NA,NA,V9P-2x-069k-1,9/29/2020,10/10/2020 10:17,8/31/2021 19:38,325
24,9155,245,270,460,East Islands HH9,V9P-2x-069k-1,10/13/2021,10/16/2021 3:45,5/27/2022 23:04,224
25,9156,335,370,1111,"South of canal, along east",V9P-2x-069k-1,10/14/2021,10/19/2021 9:20,9/6/2022 23:07,323
26,9157,247,274,470,East Islands HH9,V9P-2x-069k-1,10/13/2021,10/15/2021 20:05,10/14/2023 1:24,728
27,9158,230,260,263,HH8,V9P-2x-069k-1,10/20/2021 21:00,10/23/2021 21:07,7/20/2022 9:41,270
28,9159,255,283,405,HH8,V9P-2x-069k-1,10/20/2021 21:00,10/23/2021 20:03,4/15/2023 21:56,539
29,9160,320,351,825,HH9,V9P-2x-069k-1,10/20/2021 21:30,10/23/2021 20:02,7/18/2022 22:55,268
30,9162,248,271,362,MB 4,V9P-2x-069k-1,9/24/2020,9/26/2020 20:01,4/15/2021 23:35,201
31,9163,265,303,431,HH 10,V9P-2x-069k-1,9/24/2020,9/27/2020 6:49,5/14/2021 8:58,229
32,9164,348,390,1150,HH 9,V9P-2x-069k-1,9/22/2020,9/25/2020 6:34,9/23/2022 3:52,728
