"","station","year_ranges"
"1","HAM-001","2015-2019, 2021-2023"
"2","HAM-002","2015-2019, 2021-2024"
"3","HAM-003","2015-2019, 2021-2024"
"4","HAM-004","2015-2019, 2021-2024"
"5","HAM-005","2015-2018, 2021-2024"
"6","HAM-006","2015-2019, 2021"
"7","HAM-007","2015-2019, 2021-2023"
"8","HAM-008","2015-2019, 2021"
"9","HAM-009","2015-2022"
"10","HAM-010","2015-2019, 2022"
"11","HAM-011","2017-2024"
"12","HAM-012","2015-2022"
"13","HAM-013","2015-2024"
"14","HAM-014","2015-2019, 2021"
"15","HAM-015","2015-2019, 2021-2024"
"16","HAM-016","2015"
"17","HAM-017","2015-2024"
"18","HAM-018","2015-2019, 2021-2022"
"19","HAM-019","2015-2019, 2021"
"20","HAM-020","2015"
"21","HAM-021","2015-2018, 2021-2024"
"22","HAM-022","2015-2024"
"23","HAM-023","2015-2024"
"24","HAM-024","2015"
"25","HAM-025","2015-2019, 2021-2024"
"26","HAM-026","2015"
"27","HAM-027","2015-2019, 2022-2024"
"28","HAM-028","2015-2019, 2021-2024"
"29","HAM-029","2016-2019, 2022-2024"
"30","HAM-030","2016-2024"
"31","HAM-031","2016-2019"
"32","HAM-032","2016-2024"
"33","HAM-033","2016-2019, 2022-2024"
"34","HAM-034","2016-2024"
"35","HAM-035","2016-2024"
"36","HAM-036","2016-2024"
"37","HAM-037","2016-2019, 2021-2023"
"38","HAM-039","2017-2022"
"39","HAM-041","2017-2024"
"40","HAM-042","2018-2021, 2023-2024"
"41","HAM-043","2018-2024"
"42","HAM-044","2018-2019, 2023-2024"
"43","HAM-045","2018-2023"
"44","HAM-046","2018-2024"
"45","HAM-047","2018-2019, 2021-2024"
"46","HAM-048","2018-2022"
"47","HAM-051","2018-2024"
"48","HAM-052","2018-2024"
"49","HAM-053","2018-2024"
"50","HAM-054","2018-2019, 2022-2023"
"51","HAM-055","2018-2023"
"52","HAM-056","2018-2019, 2022-2023"
"53","HAM-057","2018-2019, 2022-2024"
"54","HAM-058","2019-2024"
"55","HAM-059","2019, 2022-2024"
"56","HAM-060","2019, 2022-2023"
"57","HAM-061","2019, 2022-2024"
"58","HAM-062","2019, 2022-2024"
"59","HAM-063","2019-2021, 2023-2024"
"60","HAM-064","2019"
"61","HAM-065","2019"
"62","HAM-066","2019, 2022-2024"
"63","HAM-067","2019, 2022-2024"
"64","HAM-068","2022-2024"
"65","HAM-070","2023-2024"
"66","HAM-071","2023-2024"
"67","HAM-072","2022-2024"
"68","HAM-073","2022-2024"
"69","HAM-074","2022-2024"
"70","HAM-075","2022-2024"
"71","HAM-076","2022-2024"
"72","HAM-077","2022-2024"
"73","HAM-078","2022-2024"
"74","HAM-079","2022-2024"
"75","HAM-080","2023-2024"
"76","HAM-081","2023-2024"
"77","HAM-082","2023-2024"
"78","HAM-083","2023-2024"
"79","HAM-084","2023-2024"
"80","HAM-085","2023-2024"
"81","HAM-086","2024"
"82","HAM-087","2024"
"83","HAM-088","2024"
"84","HAM-089","2024"
"85","HAM-090","2024"
"86","HAM-091","2024"
"87","HAM-092","2024"
"88","HAM-093","2024"
"89","HAM-094","2024"
"90","HAM-095","2024"
"91","HAM-097","2024"
"92","HAM-098","2024"
"93","HAM-099","2024"
