"","station","glatos_array","station_no","consecutive_deploy_no","intend_lat","intend_long","deploy_lat","deploy_long","recover_lat","recover_long","deploy_date_time","recover_date_time","bottom_depth","riser_length","instrument_depth","ins_model_no","glatos_ins_frequency","ins_serial_no","code_map","code_map_comment","deployed_by","comments","glatos_seasonal","glatos_project","glatos_vps","year"
"1","WLN-026","WLN","26",11,NA,NA,43.20219,-79.2645,NA,NA,2020-01-14 19:24:00,2020-11-24 18:41:00,NA,NA,NA,"VR2TX",69,481683,"MAP-114",NA,NA,NA,"No","WLONA","No","2020"
"2","WLN-041","WLN","41",7,NA,NA,43.20276,-79.26276,NA,NA,2020-01-14 19:35:00,2020-11-24 18:41:00,NA,NA,NA,"VR2W",69,132821,"MAP-114","error 1 initialization occurred between deploy and recover","DFO",NA,"No","WLONA","No","2020"
"3","HAM-017","HAM","17",8,NA,NA,43.29488,-79.82113,NA,NA,2020-06-02 18:37:00,2021-06-16 18:00:00,NA,NA,NA,"VR2AR",69,549114,"MAP-114","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2020"
"4","HAM-039","HAM","39",6,NA,NA,43.28176,-79.85158,NA,NA,2020-06-02 19:20:00,2021-06-07 13:01:00,20,NA,NA,"VR2AR",69,547992,"MAP-114",NA,NA,NA,"No","HAMLO","No","2020"
"5","HAM-023","HAM","23",9,NA,NA,43.28569,-79.86764,NA,NA,2020-06-02 20:32:00,2021-06-16 17:00:00,10,NA,NA,"VR2AR",69,547993,"MAP-114",NA,NA,NA,"No","HAMLO","No","2020"
"6","WLN-010","WLN","10",6,NA,NA,43.41613,-79.67136,NA,NA,2020-06-03 14:58:00,2021-06-07 14:02:00,25.1,2,NA,"VR2WAR",69,549102,"MAP-114",NA,"DFO",NA,"No","WLONA","No","2020"
"7","WLN-006","WLN","6",6,NA,NA,43.49064,-79.59042,NA,NA,2020-06-03 15:45:00,2021-06-07 14:24:00,21,2,NA,"VR2WAR",69,549110,"MAP-114",NA,"DFO",NA,"No","WLONA","No","2020"
"8","WLN-004","WLN","4",6,NA,NA,43.56569,-79.51855,NA,NA,2020-06-03 16:05:00,2021-06-07 14:52:00,19.2,2,NA,"VR2WAR",69,548269,"MAP-114",NA,"DFO",NA,"No","WLONA","No","2020"
"9","WLN-030","WLN","30",2,NA,NA,43.65163,-79.2506,NA,NA,2020-06-03 19:35:00,2021-06-08 18:07:00,22,2,NA,"VR2WAR",69,549093,"MAP-114",NA,"DFO",NA,"No","WLONA","No","2020"
"10","WLN-031","WLN","31",2,NA,NA,43.70627,-79.19155,NA,NA,2020-06-03 20:19:00,2021-06-09 15:29:00,20.4,2,NA,"VR2WAR",69,548256,"MAP-114",NA,"DFO",NA,"No","WLONA","No","2020"
"11","WLN-008","WLN","8",6,NA,NA,43.20914,-79.3198,NA,NA,2020-06-06 16:50:00,2021-06-07 18:32:00,20,2,NA,"VR2WAR",69,549115,"MAP-114","error 1 initialization occurred between deploy and recover","DFO",NA,"No","WLONA","No","2020"
"12","WLN-002","WLN","2",6,NA,NA,43.6192,-79.45171,NA,NA,2020-06-08 16:27:00,2021-06-07 15:14:00,18.9,2,NA,"VR2WAR",69,549105,"MAP-114",NA,"DFO",NA,"No","WLONA","No","2020"
"13","WLN-003","WLN","3",6,NA,NA,43.26948,-79.19328,NA,NA,2020-06-16 16:19:00,2021-06-07 18:07:00,20,2,NA,"VR2WAR",69,549097,"MAP-114",NA,"DFO",NA,"No","WLONA","No","2020"
